	GEOID	CRIME_RATE
91	5053	99.2063492063
92	5055	41.1955874949
93	5057	250.817395978
94	5061	29.6296296296
95	5063	476.203360481
96	5065	177.962331307
97	5067	222.425002852
98	5071	153.816573736
99	5073	98.43903811
100	5075	64.9695824228
101	5077	20.2839756592
102	5079	14.3163922691
103	5085	111.798985424
104	5087	235.069885642
105	5089	256.61391825
106	5091	80.5931656995
107	5093	63.2982932067
108	5095	26.3782643102
109	5097	220.215811495
110	5099	57.3197294509
111	5101	215.08097166
112	5105	517.325524646
113	5109	117.924528302
114	5111	12.3731749567
115	5113	173.05315204
116	5115	94.9352067214
117	5117	132.46628131
118	5119	90.9086279163
119	5121	187.809458767
120	5123	70.6345960816
121	5125	184.066575065
122	5127	187.038249322
123	5129	113.50737798
124	5131	48.9051555499
125	5133	51.6469643062
126	5137	104.049943973
127	5139	119.322842867
128	5141	201.768441042
129	5143	73.825138592
130	5145	109.425895765
131	5147	14.4717800289
132	5149	177.668443351
133	6003	358.422939068
134	6005	149.692450057
135	6007	36.5677998225
136	6009	237.540337038
137	6011	116.718801064
138	6013	37.0723964515
139	6015	374.83463178
140	6017	131.08522178
141	6019	76.089004466
142	6021	289.751386156
143	6023	149.841627784
144	6025	119.492325131
145	6027	429.114611624
146	6031	95.8281481876
147	6033	300.697993269
148	6035	103.940281584
149	6037	50.3227088266
150	6039	247.81944768
151	6041	34.8993288591
152	6043	401.538287524
153	6045	352.797915078
154	6047	174.580350137
155	6049	221.655768591
156	6051	57.1551046653
157	6053	59.3493823955
158	6055	29.6469890659
159	6057	146.623117915
160	6061	77.7521294398
161	6063	483.714930668
162	6065	32.1559835674
163	6069	102.974239278
164	6071	46.0092425563
165	6079	94.9538309392
166	6081	34.801820768
167	6083	68.5323191155
168	6085	13.4592698742
169	6087	105.222881194
170	6091	366.3003663
171	6095	23.6587023434
172	6097	122.528443389
173	6099	68.6094094516
174	6101	97.0296409903
175	6103	247.355986491
176	6105	258.162490509
177	6109	239.638869796
178	6113	35.647189171
179	6115	277.154368223
180	8001	96.106241081
181	8003	0.0
182	8005	34.74348802
183	8009	27.4348422497
184	8011	142.095914742
185	8015	21.7829330719
186	8017	106.894708712
187	8019	304.778491346
188	8021	12.0992135511
189	8023	224.215246637
190	8025	55.9701492537
191	8027	91.7220820913
192	8029	13.3913625711
193	8033	101.11223458
194	8035	47.9916602572
195	8037	85.032406795
196	8039	0.0
197	8041	66.0116741194
198	8043	90.3186959701
199	8045	46.9883921268
200	8047	170.910955392
201	8049	54.9979375773
202	8051	6.35930047695
203	8053	0.0
204	8055	123.800680904
205	8057	0.0
206	8059	29.9013613177
207	8063	49.5540138751
208	8065	67.9624847084
209	8067	68.5324788383
210	8069	33.6293124194
211	8071	7.11642470823
212	8073	72.5952813067
213	8075	48.8367963062
214	8077	136.926241948
215	8081	0.0
216	8083	131.926121372
217	8085	80.7378954322
218	8087	38.8308387461
219	8091	0.0
220	8093	110.125420618
221	8095	68.760027504
222	8097	22.6937478725
223	8099	16.6195778627
224	8101	31.5057915058
225	8103	0.0
226	8105	17.2309813044
227	8107	25.1414204903
228	8109	48.4183344093
229	8111	138.888888889
230	8113	0.0
231	8115	340.715502555
232	8117	71.4188545776
233	8119	145.36748044
234	8123	55.4615190694
235	12001	223.106326547
236	12003	501.974679807
237	12005	179.344637819
238	12007	318.328215115
239	12009	131.984161901
240	12011	14.3374161087
241	12013	116.983209469
242	12015	169.759131973
243	12017	348.694547881
244	12019	218.720908117
245	12021	251.450066948
246	12023	350.7375805
247	12027	308.465668914
248	12029	421.198214622
249	12033	566.859482584
250	12035	210.921021795
251	12037	220.05924672
252	12039	248.482098485
253	12041	294.169559334
254	12043	256.6923359
255	12045	263.421976919
256	12047	313.211845103
257	12049	178.382904365
258	12051	573.951434879
259	12053	230.30337494
260	12055	223.950486583
261	12057	147.155127486
262	12059	269.720101781
263	12061	196.884390867
264	12063	235.650908793
265	12065	875.444839858
266	12067	249.009620826
267	12069	129.557477272
268	12071	187.634379328
269	12073	121.131878812
270	12077	83.7320574163
271	12079	594.016632466
272	12081	429.571338409
273	12083	306.043925264
